apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Matheus Cavichioli,América-MG,Goleiro,5.57,2.0,-0.43,2.0,1,1
Douglas Friedrich,Bahia,Goleiro,6.0,0.0,0.0,0.0,1,0
Felipe Alves,Fortaleza,Goleiro,6.27,0.0,-2.73,0.0,1,1
Luan Polli ,Sport,Goleiro,6.0,0.0,0.0,0.0,1,0
Santos,Athlético-PR,Goleiro,13.23,9.0,3.23,9.0,1,1
Léo Lang,América-MG,Goleiro,1.0,0.0,0.0,0.0,1,0
Rafael,Atlético-MG,Goleiro,5.0,0.0,0.0,0.0,1,0
Airton,América-MG,Goleiro,1.0,0.0,0.0,0.0,1,0
Mateus Claus,Bahia,Goleiro,7.66,9.0,5.66,9.0,1,1
Tiago Volpi,São Paulo,Goleiro,20.54,17.5,8.54,17.5,1,1
Júlio César,Bragantino,Goleiro,4.0,0.0,0.0,0.0,1,0
Thiago Couto,São Paulo,Goleiro,1.0,0.0,0.0,0.0,1,0
Lucas Perri,São Paulo,Goleiro,3.0,0.0,0.0,0.0,1,0
Maycon,Bragantino,Goleiro,1.0,0.0,0.0,0.0,1,0
João Ricardo,Ceará,Goleiro,3.13,-0.5,-1.87,-0.5,1,1
André,Ceará,Goleiro,1.0,0.0,0.0,0.0,1,0
Vinicius Machado,Ceará,Goleiro,0.7,0.0,-0.3,0.0,1,1
Tiepo,Chapecoense,Goleiro,4.18,2.0,0.18,2.0,1,1
Vagner,Chapecoense,Goleiro,3.0,0.0,0.0,0.0,1,0
Igor Campos,Chapecoense,Goleiro,1.0,0.0,0.0,0.0,1,0
Keiller,Chapecoense,Goleiro,5.0,0.0,0.0,0.0,1,0
Gabriel Batista,Flamengo,Goleiro,2.0,0.0,0.0,0.0,1,0
Hugo Souza,Flamengo,Goleiro,6.0,0.0,0.0,0.0,1,0
Igor Pavan,Chapecoense,Goleiro,1.0,0.0,0.0,0.0,1,0
João Fernando,Flamengo,Goleiro,1.0,0.0,0.0,0.0,1,0
João Paulo,Chapecoense,Goleiro,1.0,0.0,0.0,0.0,1,0
Muriel,Fluminense,Goleiro,4.0,0.0,0.0,0.0,1,0
Bento,Athlético-PR,Goleiro,3.0,0.0,0.0,0.0,1,0
Maurício Kozlinski,Atlético-GO,Goleiro,3.0,0.0,0.0,0.0,1,0
Daniel,Internacional,Goleiro,3.0,0.0,0.0,0.0,1,0
Jailson,Palmeiras,Goleiro,4.0,0.0,0.0,0.0,1,0
João Carlos,Cuiabá,Goleiro,3.0,0.0,0.0,0.0,1,0
Fernando Miguel,Atlético-GO,Goleiro,16.71,17.0,9.71,17.0,1,1
Danilo Fernandes,Internacional,Goleiro,4.0,0.0,0.0,0.0,1,0
Everson,Atlético-MG,Goleiro,9.75,1.0,-3.25,1.0,1,1
Weverton,Palmeiras,Goleiro,18.45,6.5,-1.55,6.5,1,1
Vinicius Silvestre,Palmeiras,Goleiro,3.0,0.0,0.0,0.0,1,0
Brenno,Grêmio,Goleiro,5.57,0.0,-2.43,0.0,1,1
Marcelo Boeck,Fortaleza,Goleiro,3.0,0.0,0.0,0.0,1,0
Gabriel Chapecó,Grêmio,Goleiro,1.0,0.0,0.0,0.0,1,0
César,Flamengo,Goleiro,3.0,0.0,0.0,0.0,1,0
Cássio,Corinthians,Goleiro,11.14,1.0,-3.86,1.0,1,1
Cleiton,Bragantino,Goleiro,7.66,7.0,3.66,7.0,1,1
Carlos Eduardo,Sport,Goleiro,2.0,0.0,0.0,0.0,1,0
Marcos Felipe ,Fluminense,Goleiro,12.53,8.0,2.53,8.0,1,1
Marcelo Carné,Juventude,Goleiro,2.44,-1.5,-2.56,-1.5,1,1
Fernando,Cuiabá,Goleiro,1.0,0.0,0.0,0.0,1,0
William,Juventude,Goleiro,1.0,0.0,0.0,0.0,1,0
Richard,Ceará,Goleiro,6.0,0.0,0.0,0.0,1,0
Maílson,Sport,Goleiro,2.09,0.0,-0.91,0.0,1,1
Samuel Deuner,Juventude,Goleiro,1.0,0.0,0.0,0.0,1,0
Simonetto,Juventude,Goleiro,1.0,0.0,0.0,0.0,1,0
Diego Alves,Flamengo,Goleiro,16.71,10.0,2.71,10.0,1,1
Paulo Victor,Grêmio,Goleiro,4.0,0.0,0.0,0.0,1,0
Matheus Teixeira,Bahia,Goleiro,3.0,0.0,0.0,0.0,1,0
Max Walef,Fortaleza,Goleiro,2.0,0.0,0.0,0.0,1,0
Vladimir,Santos,Goleiro,3.0,0.0,0.0,0.0,1,0
Walter,Cuiabá,Goleiro,3.83,0.5,-1.17,0.5,1,1
John Victor,Santos,Goleiro,6.0,0.0,0.0,0.0,1,0
João Paulo,Santos,Goleiro,3.48,-3.0,-4.52,-3.0,1,1
Anderson,Athlético-PR,Goleiro,2.0,0.0,0.0,0.0,1,0
João Lopes,Fluminense,Goleiro,2.0,0.0,0.0,0.0,1,0
Léo Linck,Athlético-PR,Goleiro,1.0,0.0,0.0,0.0,1,0
Cássio,América-MG,Goleiro,1.0,0.0,0.0,0.0,1,0
Matheus Mendes,Atlético-MG,Goleiro,2.0,0.0,0.0,0.0,1,0
Robson,América-MG,Goleiro,1.0,0.0,0.0,0.0,1,0
Mateus,Palmeiras,Goleiro,1.0,0.0,0.0,0.0,1,0
Marcelo Lomba,Internacional,Goleiro,9.75,1.0,-3.25,1.0,1,1
Guilherme,Corinthians,Goleiro,1.0,0.0,0.0,0.0,1,0
Matheus Donelli,Corinthians,Goleiro,2.0,0.0,0.0,0.0,1,0
Anthoni,Internacional,Goleiro,1.0,0.0,0.0,0.0,1,0
Caíque França,Corinthians,Goleiro,2.0,0.0,0.0,0.0,1,0
