apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Tinga,Fortaleza,Lateral,4.25,-0.9,-2.75,-0.9,1,1
Reinaldo,São Paulo,Lateral,16.22,6.3,-0.78,6.3,1,1
Felipe Jonatan,Santos,Lateral,8.91,1.8,-2.09,1.8,1,1
Dudu,Atlético-GO,Lateral,10.65,8.3,3.65,8.3,1,1
Orejuela,São Paulo,Lateral,9.0,0.0,0.0,0.0,1,0
Viña,Palmeiras,Lateral,9.4,-2.5,-6.6,-2.5,1,1
Vitor Hugo,América-MG,Lateral,1.0,0.0,0.0,0.0,1,0
Diego Ferreira,América-MG,Lateral,1.95,-1.2,-2.05,-1.2,1,1
Nicolas,Athlético-PR,Lateral,5.0,0.0,0.0,0.0,1,0
Mariano,Atlético-MG,Lateral,5.0,0.0,0.0,0.0,1,0
Lucas Luan,América-MG,Lateral,1.0,0.0,0.0,0.0,1,0
Eduardo,América-MG,Lateral,5.0,0.0,0.0,0.0,1,0
Thalys,América-MG,Lateral,1.0,0.0,0.0,0.0,1,0
Márcio Azevedo,Athlético-PR,Lateral,5.0,0.0,0.0,0.0,1,0
Dodô,Atlético-MG,Lateral,6.0,0.0,0.0,0.0,1,0
Egídio,Fluminense,Lateral,9.47,5.6,1.47,5.6,1,1
Matheus Bahia,Bahia,Lateral,7.87,5.3,1.87,5.3,1,1
Marcinho,Athlético-PR,Lateral,7.66,5.0,1.66,5.0,1,1
Daniel Alves,São Paulo,Lateral,11.0,0.0,0.0,0.0,1,0
João Pedro ,Bahia,Lateral,4.0,0.0,0.0,0.0,1,0
Rafinha,Grêmio,Lateral,16.0,0.0,0.0,0.0,1,0
Aderlan,Bragantino,Lateral,10.72,7.4,2.72,7.4,1,1
Guga,Atlético-MG,Lateral,7.24,2.4,-0.76,2.4,1,1
Igor Vinícius,São Paulo,Lateral,8.7,7.5,3.7,7.5,1,1
Edimar,Bragantino,Lateral,5.0,0.0,0.0,0.0,1,0
Juninho Capixaba,Bahia,Lateral,5.0,0.0,0.0,0.0,1,0
Luan Cândido,Bragantino,Lateral,8.98,7.9,3.98,7.9,1,1
Welington ,São Paulo,Lateral,3.0,0.0,0.0,0.0,1,0
Weverton,Bragantino,Lateral,3.0,0.0,0.0,0.0,1,0
Weverson,Bragantino,Lateral,4.0,0.0,0.0,0.0,1,0
Rafael Luiz,Bragantino,Lateral,3.0,0.0,0.0,0.0,1,0
Kelvyn,Ceará,Lateral,1.53,-0.8,-1.47,-0.8,1,1
Bruno Pacheco,Ceará,Lateral,7.0,0.0,0.0,0.0,1,0
Gabriel Dias,Ceará,Lateral,5.0,0.0,0.0,0.0,1,0
Buiú,Ceará,Lateral,0.7,-1.9,-0.3,-1.9,1,1
Alessandro,Ceará,Lateral,1.0,0.0,0.0,0.0,1,0
Matheus Ribeiro,Chapecoense,Lateral,1.6,0.3,-0.4,0.3,1,1
Ezequiel ,Chapecoense,Lateral,3.0,0.0,0.0,0.0,1,0
Busanello,Chapecoense,Lateral,2.78,1.0,-0.22,1.0,1,1
Mancha,Chapecoense,Lateral,1.0,0.0,0.0,0.0,1,0
Brayan,Chapecoense,Lateral,1.0,0.0,0.0,0.0,1,0
Matheuzinho,Flamengo,Lateral,4.0,0.0,0.0,0.0,1,0
Ramon,Flamengo,Lateral,3.0,0.0,0.0,0.0,1,0
Abner Vinícius,Athlético-PR,Lateral,9.54,5.7,1.54,5.7,1,1
Guilherme Arana,Atlético-MG,Lateral,8.98,3.9,-0.02,3.9,1,1
Samuel Xavier,Fluminense,Lateral,8.56,5.3,1.56,5.3,1,1
Arnaldo,Atlético-GO,Lateral,6.96,7.0,3.96,7.0,1,1
Lucas Piton,Corinthians,Lateral,5.22,3.5,1.22,3.5,1,1
Calegari,Fluminense,Lateral,11.0,0.0,0.0,0.0,1,0
Igor Julião,Fluminense,Lateral,4.0,0.0,0.0,0.0,1,0
Danilo Barcelos,Fluminense,Lateral,6.0,0.0,0.0,0.0,1,0
Léo Borges,Internacional,Lateral,2.0,0.0,0.0,0.0,1,0
Heitor,Internacional,Lateral,4.0,0.0,0.0,0.0,1,0
Uendel,Cuiabá,Lateral,3.2,-0.4,-1.8,-0.4,1,1
Alyson,Juventude,Lateral,1.39,-2.0,-2.61,-2.0,1,1
Mayke,Palmeiras,Lateral,6.0,0.0,0.0,0.0,1,0
Victor Luis,Palmeiras,Lateral,5.01,2.2,0.01,2.2,1,1
Moisés,Internacional,Lateral,5.22,-0.5,-2.78,-0.5,1,1
Marcos Rocha,Palmeiras,Lateral,10.0,0.0,0.0,0.0,1,0
Rodinei,Flamengo,Lateral,6.0,0.0,0.0,0.0,1,0
Igor Cariús,Atlético-GO,Lateral,9.54,11.7,7.54,11.7,1,1
Erick,Athlético-PR,Lateral,5.0,0.0,0.0,0.0,1,0
Fagner,Corinthians,Lateral,11.14,2.0,-2.86,2.0,1,1
Filipe Luís,Flamengo,Lateral,5.36,2.7,0.36,2.7,1,1
Saravia,Internacional,Lateral,7.17,0.3,-2.83,0.3,1,1
Natanael,Atlético-GO,Lateral,7.73,7.1,3.73,7.1,1,1
Carlinhos,Fortaleza,Lateral,6.0,0.0,0.0,0.0,1,0
Vanderson,Grêmio,Lateral,10.58,10.2,5.58,10.2,1,1
Esteves,Palmeiras,Lateral,3.0,0.0,0.0,0.0,1,0
Bruno Melo,Fortaleza,Lateral,3.76,-0.6,-2.24,-0.6,1,1
João Paulo,América-MG,Lateral,6.0,0.0,0.0,0.0,1,0
Nino Paraíba,Bahia,Lateral,9.0,0.0,0.0,0.0,1,0
Renê,Flamengo,Lateral,6.0,0.0,0.0,0.0,1,0
Leonardo,Grêmio,Lateral,5.0,0.0,0.0,0.0,1,0
Ewerthon,Sport,Lateral,3.0,0.0,0.0,0.0,1,0
Elias Lira,Sport,Lateral,1.0,0.0,0.0,0.0,1,0
Júnior Tavares,Sport,Lateral,5.78,3.3,0.78,3.3,1,1
Fábio Santos,Corinthians,Lateral,11.0,0.0,0.0,0.0,1,0
Eltinho,Juventude,Lateral,3.48,0.0,-1.52,0.0,1,1
Lucas Ramon ,Cuiabá,Lateral,2.23,0.2,-0.77,0.2,1,1
Daniel Guedes ,Fortaleza,Lateral,2.44,-0.5,-1.56,-0.5,1,1
Diogo Barbosa,Grêmio,Lateral,5.92,0.5,-2.08,0.5,1,1
Pará,Santos,Lateral,4.8,-0.1,-2.2,-0.1,1,1
Léo,São Paulo,Lateral,9.47,9.6,5.47,9.6,1,1
Dudu,Juventude,Lateral,2.0,0.0,0.0,0.0,1,0
Bruno Cortez,Grêmio,Lateral,5.36,1.7,-0.64,1.7,1,1
Guilherme Guedes,Grêmio,Lateral,2.0,0.0,0.0,0.0,1,0
Paulo Henrique,Juventude,Lateral,0.7,-0.2,-0.3,-0.2,1,1
Madson,Santos,Lateral,3.97,0.7,-1.03,0.7,1,1
Victor Ferraz,Grêmio,Lateral,6.0,0.0,0.0,0.0,1,0
Isla,Flamengo,Lateral,11.84,7.0,1.84,7.0,1,1
Sander,Sport,Lateral,2.99,-1.7,-3.01,-1.7,1,1
Michel,Juventude,Lateral,1.25,-2.2,-2.75,-2.2,1,1
Guilherme Biro,Corinthians,Lateral,1.0,0.0,0.0,0.0,1,0
Victor Gabriel,Sport,Lateral,1.0,0.0,0.0,0.0,1,0
Vinícius Kaue,Athlético-PR,Lateral,2.0,0.0,0.0,0.0,1,0
Marlon ,América-MG,Lateral,4.25,3.1,1.25,3.1,1,1
Alan Ruschel,América-MG,Lateral,2.85,0.1,-1.15,0.1,1,1
Arthur Henrique,Atlético-GO,Lateral,2.0,0.0,0.0,0.0,1,0
Mazetti,Internacional,Lateral,1.0,0.0,0.0,0.0,1,0
João Lucas,Cuiabá,Lateral,0.7,-1.0,-1.3,-1.0,1,1
Moraes,Santos,Lateral,3.0,0.0,0.0,0.0,1,0
Khellven ,Athlético-PR,Lateral,4.94,4.1,1.94,4.1,1,1
Hayner,Sport,Lateral,3.13,1.5,0.13,1.5,1,1
Jefté,Fluminense,Lateral,2.0,0.0,0.0,0.0,1,0
Gustavo Garcia,Palmeiras,Lateral,1.0,0.0,0.0,0.0,1,0
Vanderlan,Palmeiras,Lateral,1.0,0.0,0.0,0.0,1,0
Renan Guedes,Bahia,Lateral,5.15,5.4,3.15,5.4,1,1
Lucas Hernández,Cuiabá,Lateral,2.0,0.0,0.0,0.0,1,0
Carlos Henrique,Atlético-GO,Lateral,1.0,0.0,0.0,0.0,1,0
Sandro,Santos,Lateral,1.0,0.0,0.0,0.0,1,0
Patric,Sport,Lateral,7.0,0.0,0.0,0.0,1,0
