apelido,clube,posicao,preco,pontos,variacao,media,rodada,jogos
Dado Cavalcanti,Bahia,Tecnico,7.12,6.23,3.12,6.23,1,1
Hernán Crespo,São Paulo,Tecnico,10.81,5.53,0.81,5.53,1,1
Miguel Ángel Ramírez,Internacional,Tecnico,6.96,1.99,-1.04,1.99,1,1
Umberto Louzer,Sport,Tecnico,3.82,3.49,1.82,3.49,1,1
Abel Ferreira,Palmeiras,Tecnico,10.29,2.78,-1.71,2.78,1,1
Marquinhos Santos,Juventude,Tecnico,4.01,2.76,1.01,2.76,1,1
António Oliveira,Athlético-PR,Tecnico,6.94,4.97,1.94,4.97,1,1
Lisca,América-MG,Tecnico,3.94,1.66,-0.06,1.66,1,1
Cuca,Atlético-MG,Tecnico,9.07,2.03,-1.93,2.03,1,1
Guto Ferreira,Ceará,Tecnico,8.31,3.94,0.31,3.94,1,1
Maurício Barbieri,Bragantino,Tecnico,10.96,8.74,3.96,8.74,1,1
Rogério Ceni,Flamengo,Tecnico,12.09,5.36,0.09,5.36,1,1
Roger Machado ,Fluminense,Tecnico,7.01,4.07,1.01,4.07,1,1
Tiago Nunes,Grêmio,Tecnico,6.62,2.51,-0.38,2.51,1,1
Juan Vojvoda,Fortaleza,Tecnico,5.52,3.93,1.52,3.93,1,1
Fernando Diniz,Santos,Tecnico,4.36,1.26,-0.64,1.26,1,1
Sylvinho,Corinthians,Tecnico,4.76,0.84,-1.24,0.84,1,1
Luiz Fernando Iubel,Cuiabá,Tecnico,3.93,0.0,0.0,0.0,1,0
Eduardo Barroca,Atlético-GO,Tecnico,7.09,7.18,4.09,7.18,1,1
Felipe Endres,Chapecoense,Tecnico,2.47,1.55,0.47,1.55,1,1
Cuca,Atlético-MG,Tecnico,9.49,5.66,0.42,3.85,2,2
Dado Cavalcanti,Bahia,Tecnico,8.37,3.51,1.25,4.87,2,2
Maurício Barbieri,Bragantino,Tecnico,12.47,5.0,1.51,6.87,2,2
Rogério Ceni,Flamengo,Tecnico,12.09,0.0,0.0,5.36,2,1
Roger Machado ,Fluminense,Tecnico,8.08,4.45,1.07,4.26,2,2
Umberto Louzer,Sport,Tecnico,4.19,1.08,0.37,2.29,2,2
Miguel Ángel Ramírez,Internacional,Tecnico,5.75,0.48,-1.21,1.24,2,2
Marquinhos Santos,Juventude,Tecnico,4.43,1.8,0.42,2.28,2,2
Hernán Crespo,São Paulo,Tecnico,9.83,1.24,-0.98,3.38,2,2
Tiago Nunes,Grêmio,Tecnico,6.62,0.0,0.0,2.51,2,1
Abel Ferreira,Palmeiras,Tecnico,9.88,4.05,-0.41,3.41,2,2
António Oliveira,Athlético-PR,Tecnico,8.96,6.03,2.02,5.5,2,2
Fernando Diniz,Santos,Tecnico,4.96,3.47,0.6,2.37,2,2
Luiz Fernando Iubel,Cuiabá,Tecnico,3.66,1.99,-0.27,1.99,2,1
Sylvinho,Corinthians,Tecnico,5.56,4.47,0.8,2.66,2,2
Eduardo Barroca,Atlético-GO,Tecnico,9.71,6.04,2.62,6.61,2,2
Juan Vojvoda,Fortaleza,Tecnico,7.92,6.65,2.4,5.29,2,2
Guto Ferreira,Ceará,Tecnico,7.68,1.43,-0.63,2.68,2,2
Jair Ventura,Chapecoense,Tecnico,2.34,1.35,-0.13,1.35,2,1
Lisca,América-MG,Tecnico,3.99,1.63,0.05,1.64,2,2
